instrument,soil_property,prep_transform,train,prep_spectra
1,carbon_org_perc,logTransform,int10CVrep10,BOC
1,carbon_org_perc,logTransform,int10CVrep10,raw
1,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
1,carbon_org_perc,logTransform,int10CVrep10,SNV
1,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
1,carbon_org_perc,logTransform,int10CVrep10,wavelet
1,clay_perc,withoutTransform,int10CVrep10,BOC
1,clay_perc,withoutTransform,int10CVrep10,raw
1,clay_perc,withoutTransform,int10CVrep10,SG1stDer
1,clay_perc,withoutTransform,int10CVrep10,SNV
1,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
1,clay_perc,withoutTransform,int10CVrep10,wavelet
1,pH_H20,withoutTransform,int10CVrep10,BOC
1,pH_H20,withoutTransform,int10CVrep10,raw
1,pH_H20,withoutTransform,int10CVrep10,SG1stDer
1,pH_H20,withoutTransform,int10CVrep10,SNV
1,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
1,pH_H20,withoutTransform,int10CVrep10,wavelet
1,potassium_cmolkg,logTransform,int10CVrep10,BOC
1,potassium_cmolkg,logTransform,int10CVrep10,raw
1,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
1,potassium_cmolkg,logTransform,int10CVrep10,SNV
1,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
1,potassium_cmolkg,logTransform,int10CVrep10,wavelet
2,carbon_org_perc,logTransform,int10CVrep10,BOC
2,carbon_org_perc,logTransform,int10CVrep10,raw
2,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
2,carbon_org_perc,logTransform,int10CVrep10,SNV
2,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
2,carbon_org_perc,logTransform,int10CVrep10,wavelet
2,clay_perc,withoutTransform,int10CVrep10,BOC
2,clay_perc,withoutTransform,int10CVrep10,raw
2,clay_perc,withoutTransform,int10CVrep10,SG1stDer
2,clay_perc,withoutTransform,int10CVrep10,SNV
2,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
2,clay_perc,withoutTransform,int10CVrep10,wavelet
2,pH_H20,withoutTransform,int10CVrep10,BOC
2,pH_H20,withoutTransform,int10CVrep10,raw
2,pH_H20,withoutTransform,int10CVrep10,SG1stDer
2,pH_H20,withoutTransform,int10CVrep10,SNV
2,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
2,pH_H20,withoutTransform,int10CVrep10,wavelet
2,potassium_cmolkg,logTransform,int10CVrep10,BOC
2,potassium_cmolkg,logTransform,int10CVrep10,raw
2,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
2,potassium_cmolkg,logTransform,int10CVrep10,SNV
2,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
2,potassium_cmolkg,logTransform,int10CVrep10,wavelet
3,carbon_org_perc,logTransform,int10CVrep10,BOC
3,carbon_org_perc,logTransform,int10CVrep10,raw
3,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
3,carbon_org_perc,logTransform,int10CVrep10,SNV
3,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
3,carbon_org_perc,logTransform,int10CVrep10,wavelet
3,clay_perc,withoutTransform,int10CVrep10,BOC
3,clay_perc,withoutTransform,int10CVrep10,raw
3,clay_perc,withoutTransform,int10CVrep10,SG1stDer
3,clay_perc,withoutTransform,int10CVrep10,SNV
3,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
3,clay_perc,withoutTransform,int10CVrep10,wavelet
3,pH_H20,withoutTransform,int10CVrep10,BOC
3,pH_H20,withoutTransform,int10CVrep10,raw
3,pH_H20,withoutTransform,int10CVrep10,SG1stDer
3,pH_H20,withoutTransform,int10CVrep10,SNV
3,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
3,pH_H20,withoutTransform,int10CVrep10,wavelet
3,potassium_cmolkg,logTransform,int10CVrep10,BOC
3,potassium_cmolkg,logTransform,int10CVrep10,raw
3,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
3,potassium_cmolkg,logTransform,int10CVrep10,SNV
3,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
3,potassium_cmolkg,logTransform,int10CVrep10,wavelet
4,carbon_org_perc,logTransform,int10CVrep10,BOC
4,carbon_org_perc,logTransform,int10CVrep10,raw
4,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
4,carbon_org_perc,logTransform,int10CVrep10,SNV
4,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
4,carbon_org_perc,logTransform,int10CVrep10,wavelet
4,clay_perc,withoutTransform,int10CVrep10,BOC
4,clay_perc,withoutTransform,int10CVrep10,raw
4,clay_perc,withoutTransform,int10CVrep10,SG1stDer
4,clay_perc,withoutTransform,int10CVrep10,SNV
4,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
4,clay_perc,withoutTransform,int10CVrep10,wavelet
4,pH_H20,withoutTransform,int10CVrep10,BOC
4,pH_H20,withoutTransform,int10CVrep10,raw
4,pH_H20,withoutTransform,int10CVrep10,SG1stDer
4,pH_H20,withoutTransform,int10CVrep10,SNV
4,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
4,pH_H20,withoutTransform,int10CVrep10,wavelet
4,potassium_cmolkg,logTransform,int10CVrep10,BOC
4,potassium_cmolkg,logTransform,int10CVrep10,raw
4,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
4,potassium_cmolkg,logTransform,int10CVrep10,SNV
4,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
4,potassium_cmolkg,logTransform,int10CVrep10,wavelet
5,carbon_org_perc,logTransform,int10CVrep10,BOC
5,carbon_org_perc,logTransform,int10CVrep10,raw
5,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
5,carbon_org_perc,logTransform,int10CVrep10,SNV
5,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
5,carbon_org_perc,logTransform,int10CVrep10,wavelet
5,clay_perc,withoutTransform,int10CVrep10,BOC
5,clay_perc,withoutTransform,int10CVrep10,raw
5,clay_perc,withoutTransform,int10CVrep10,SG1stDer
5,clay_perc,withoutTransform,int10CVrep10,SNV
5,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
5,clay_perc,withoutTransform,int10CVrep10,wavelet
5,pH_H20,withoutTransform,int10CVrep10,BOC
5,pH_H20,withoutTransform,int10CVrep10,raw
5,pH_H20,withoutTransform,int10CVrep10,SG1stDer
5,pH_H20,withoutTransform,int10CVrep10,SNV
5,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
5,pH_H20,withoutTransform,int10CVrep10,wavelet
5,potassium_cmolkg,logTransform,int10CVrep10,BOC
5,potassium_cmolkg,logTransform,int10CVrep10,raw
5,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
5,potassium_cmolkg,logTransform,int10CVrep10,SNV
5,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
5,potassium_cmolkg,logTransform,int10CVrep10,wavelet
6,carbon_org_perc,logTransform,int10CVrep10,BOC
6,carbon_org_perc,logTransform,int10CVrep10,raw
6,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
6,carbon_org_perc,logTransform,int10CVrep10,SNV
6,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
6,carbon_org_perc,logTransform,int10CVrep10,wavelet
6,clay_perc,withoutTransform,int10CVrep10,BOC
6,clay_perc,withoutTransform,int10CVrep10,raw
6,clay_perc,withoutTransform,int10CVrep10,SG1stDer
6,clay_perc,withoutTransform,int10CVrep10,SNV
6,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
6,clay_perc,withoutTransform,int10CVrep10,wavelet
6,pH_H20,withoutTransform,int10CVrep10,BOC
6,pH_H20,withoutTransform,int10CVrep10,raw
6,pH_H20,withoutTransform,int10CVrep10,SG1stDer
6,pH_H20,withoutTransform,int10CVrep10,SNV
6,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
6,pH_H20,withoutTransform,int10CVrep10,wavelet
6,potassium_cmolkg,logTransform,int10CVrep10,BOC
6,potassium_cmolkg,logTransform,int10CVrep10,raw
6,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
6,potassium_cmolkg,logTransform,int10CVrep10,SNV
6,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
6,potassium_cmolkg,logTransform,int10CVrep10,wavelet
7,carbon_org_perc,logTransform,int10CVrep10,BOC
7,carbon_org_perc,logTransform,int10CVrep10,raw
7,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
7,carbon_org_perc,logTransform,int10CVrep10,SNV
7,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
7,carbon_org_perc,logTransform,int10CVrep10,wavelet
7,clay_perc,withoutTransform,int10CVrep10,BOC
7,clay_perc,withoutTransform,int10CVrep10,raw
7,clay_perc,withoutTransform,int10CVrep10,SG1stDer
7,clay_perc,withoutTransform,int10CVrep10,SNV
7,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
7,clay_perc,withoutTransform,int10CVrep10,wavelet
7,pH_H20,withoutTransform,int10CVrep10,BOC
7,pH_H20,withoutTransform,int10CVrep10,raw
7,pH_H20,withoutTransform,int10CVrep10,SG1stDer
7,pH_H20,withoutTransform,int10CVrep10,SNV
7,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
7,pH_H20,withoutTransform,int10CVrep10,wavelet
7,potassium_cmolkg,logTransform,int10CVrep10,BOC
7,potassium_cmolkg,logTransform,int10CVrep10,raw
7,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
7,potassium_cmolkg,logTransform,int10CVrep10,SNV
7,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
7,potassium_cmolkg,logTransform,int10CVrep10,wavelet
8,carbon_org_perc,logTransform,int10CVrep10,BOC
8,carbon_org_perc,logTransform,int10CVrep10,raw
8,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
8,carbon_org_perc,logTransform,int10CVrep10,SNV
8,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
8,carbon_org_perc,logTransform,int10CVrep10,wavelet
8,clay_perc,withoutTransform,int10CVrep10,BOC
8,clay_perc,withoutTransform,int10CVrep10,raw
8,clay_perc,withoutTransform,int10CVrep10,SG1stDer
8,clay_perc,withoutTransform,int10CVrep10,SNV
8,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
8,clay_perc,withoutTransform,int10CVrep10,wavelet
8,pH_H20,withoutTransform,int10CVrep10,BOC
8,pH_H20,withoutTransform,int10CVrep10,raw
8,pH_H20,withoutTransform,int10CVrep10,SG1stDer
8,pH_H20,withoutTransform,int10CVrep10,SNV
8,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
8,pH_H20,withoutTransform,int10CVrep10,wavelet
8,potassium_cmolkg,logTransform,int10CVrep10,BOC
8,potassium_cmolkg,logTransform,int10CVrep10,raw
8,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
8,potassium_cmolkg,logTransform,int10CVrep10,SNV
8,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
8,potassium_cmolkg,logTransform,int10CVrep10,wavelet
9,carbon_org_perc,logTransform,int10CVrep10,BOC
9,carbon_org_perc,logTransform,int10CVrep10,raw
9,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
9,carbon_org_perc,logTransform,int10CVrep10,SNV
9,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
9,carbon_org_perc,logTransform,int10CVrep10,wavelet
9,clay_perc,withoutTransform,int10CVrep10,BOC
9,clay_perc,withoutTransform,int10CVrep10,raw
9,clay_perc,withoutTransform,int10CVrep10,SG1stDer
9,clay_perc,withoutTransform,int10CVrep10,SNV
9,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
9,clay_perc,withoutTransform,int10CVrep10,wavelet
9,pH_H20,withoutTransform,int10CVrep10,BOC
9,pH_H20,withoutTransform,int10CVrep10,raw
9,pH_H20,withoutTransform,int10CVrep10,SG1stDer
9,pH_H20,withoutTransform,int10CVrep10,SNV
9,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
9,pH_H20,withoutTransform,int10CVrep10,wavelet
9,potassium_cmolkg,logTransform,int10CVrep10,BOC
9,potassium_cmolkg,logTransform,int10CVrep10,raw
9,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
9,potassium_cmolkg,logTransform,int10CVrep10,SNV
9,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
9,potassium_cmolkg,logTransform,int10CVrep10,wavelet
10,carbon_org_perc,logTransform,int10CVrep10,BOC
10,carbon_org_perc,logTransform,int10CVrep10,raw
10,carbon_org_perc,logTransform,int10CVrep10,SG1stDer
10,carbon_org_perc,logTransform,int10CVrep10,SNV
10,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer
10,carbon_org_perc,logTransform,int10CVrep10,wavelet
10,clay_perc,withoutTransform,int10CVrep10,BOC
10,clay_perc,withoutTransform,int10CVrep10,raw
10,clay_perc,withoutTransform,int10CVrep10,SG1stDer
10,clay_perc,withoutTransform,int10CVrep10,SNV
10,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer
10,clay_perc,withoutTransform,int10CVrep10,wavelet
10,pH_H20,withoutTransform,int10CVrep10,BOC
10,pH_H20,withoutTransform,int10CVrep10,raw
10,pH_H20,withoutTransform,int10CVrep10,SG1stDer
10,pH_H20,withoutTransform,int10CVrep10,SNV
10,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
10,pH_H20,withoutTransform,int10CVrep10,wavelet
10,potassium_cmolkg,logTransform,int10CVrep10,BOC
10,potassium_cmolkg,logTransform,int10CVrep10,raw
10,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
10,potassium_cmolkg,logTransform,int10CVrep10,SNV
10,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
10,potassium_cmolkg,logTransform,int10CVrep10,wavelet
11,carbon_org_perc,logTransform,int10CVrep10,BOC
